,,,PI Data Reference,Malcolm X Library
Start,7/1/2018,7/1/2018 0:00,7/1/2018 0:15,16.4234635
End,7/1/2019,7/1/2018 0:15,7/1/2018 0:30,17.98406347
,,7/1/2018 0:30,7/1/2018 0:45,18.10792065
,,7/1/2018 0:45,7/1/2018 1:00,16.57209174
,,7/1/2018 1:00,7/1/2018 1:15,18.62812169
,,7/1/2018 1:15,7/1/2018 1:30,18.95015017
,,7/1/2018 1:30,7/1/2018 1:45,18.99969292
,,7/1/2018 1:45,7/1/2018 2:00,17.8602066
,,7/1/2018 2:00,7/1/2018 2:15,18.38040733
,,7/1/2018 2:15,7/1/2018 2:30,17.41432158
,,7/1/2018 2:30,7/1/2018 2:45,19.19786421
,,7/1/2018 2:45,7/1/2018 3:00,17.76112143
,,7/1/2018 3:00,7/1/2018 3:15,17.3152353
,,7/1/2018 3:15,7/1/2018 3:30,18.28132168
,,7/1/2018 3:30,7/1/2018 3:45,17.2409207
,,7/1/2018 3:45,7/1/2018 4:00,17.31523514
,,7/1/2018 4:00,7/1/2018 4:15,17.11706448
,,7/1/2018 4:15,7/1/2018 4:30,16.77026399
,,7/1/2018 4:30,7/1/2018 4:45,18.45472177
,,7/1/2018 4:45,7/1/2018 5:00,16.15097777
,,7/1/2018 5:00,7/1/2018 5:15,17.19137828
,,7/1/2018 5:15,7/1/2018 5:30,17.14183521
,,7/1/2018 5:30,7/1/2018 5:45,17.11706352
,,7/1/2018 5:45,7/1/2018 6:00,72.15920035
,,7/1/2018 6:00,7/1/2018 6:15,625.577891
,,7/1/2018 6:15,7/1/2018 6:30,1730.235392
,,7/1/2018 6:30,7/1/2018 6:45,3188.95109
,,7/1/2018 6:45,7/1/2018 7:00,5000.610189
,,7/1/2018 7:00,7/1/2018 7:15,7570.597493
,,7/1/2018 7:15,7/1/2018 7:30,10097.06136
,,7/1/2018 7:30,7/1/2018 7:45,14326.93294
,,7/1/2018 7:45,7/1/2018 8:00,21367.19824
,,7/1/2018 8:00,7/1/2018 8:15,26094.30729
,,7/1/2018 8:15,7/1/2018 8:30,33137.86621
,,7/1/2018 8:30,7/1/2018 8:45,56031.33138
,,7/1/2018 8:45,7/1/2018 9:00,62049.30599
,,7/1/2018 9:00,7/1/2018 9:15,62445.89974
,,7/1/2018 9:15,7/1/2018 9:30,65692.98568
,,7/1/2018 9:30,7/1/2018 9:45,77870.67448
,,7/1/2018 9:45,7/1/2018 10:00,83157.79036
,,7/1/2018 10:00,7/1/2018 10:15,87877.12109
,,7/1/2018 10:15,7/1/2018 10:30,92234.6901
,,7/1/2018 10:30,7/1/2018 10:45,79367.36719
,,7/1/2018 10:45,7/1/2018 11:00,96396.19531
,,7/1/2018 11:00,7/1/2018 11:15,97790.80208
,,7/1/2018 11:15,7/1/2018 11:30,99557.92448
,,7/1/2018 11:30,7/1/2018 11:45,101355.9297
,,7/1/2018 11:45,7/1/2018 12:00,102705.4049
,,7/1/2018 12:00,7/1/2018 12:15,103397.5664
,,7/1/2018 12:15,7/1/2018 12:30,104142.5938
,,7/1/2018 12:30,7/1/2018 12:45,104035.8529
,,7/1/2018 12:45,7/1/2018 13:00,104532.2747
,,7/1/2018 13:00,7/1/2018 13:15,104929.9297
,,7/1/2018 13:15,7/1/2018 13:30,104674.3867
,,7/1/2018 13:30,7/1/2018 13:45,103130.8789
,,7/1/2018 13:45,7/1/2018 14:00,103492.4883
,,7/1/2018 14:00,7/1/2018 14:15,102672.7813
,,7/1/2018 14:15,7/1/2018 14:30,101675.9284
,,7/1/2018 14:30,7/1/2018 14:45,100372.9036
,,7/1/2018 14:45,7/1/2018 15:00,98618.41536
,,7/1/2018 15:00,7/1/2018 15:15,96282.61328
,,7/1/2018 15:15,7/1/2018 15:30,94504.30078
,,7/1/2018 15:30,7/1/2018 15:45,91663.8112
,,7/1/2018 15:45,7/1/2018 16:00,89243.24219
,,7/1/2018 16:00,7/1/2018 16:15,84811.43359
,,7/1/2018 16:15,7/1/2018 16:30,79669.99349
,,7/1/2018 16:30,7/1/2018 16:45,73909.42448
,,7/1/2018 16:45,7/1/2018 17:00,68021.00716
,,7/1/2018 17:00,7/1/2018 17:15,61977.61719
,,7/1/2018 17:15,7/1/2018 17:30,55104.85482
,,7/1/2018 17:30,7/1/2018 17:45,48271.43294
,,7/1/2018 17:45,7/1/2018 18:00,41437.58984
,,7/1/2018 18:00,7/1/2018 18:15,34221.42025
,,7/1/2018 18:15,7/1/2018 18:30,27131.5127
,,7/1/2018 18:30,7/1/2018 18:45,20329.57324
,,7/1/2018 18:45,7/1/2018 19:00,14168.61833
,,7/1/2018 19:00,7/1/2018 19:15,8930.697754
,,7/1/2018 19:15,7/1/2018 19:30,4921.143473
,,7/1/2018 19:30,7/1/2018 19:45,2289.921346
,,7/1/2018 19:45,7/1/2018 20:00,806.8057302
,,7/1/2018 20:00,7/1/2018 20:15,23.58241018
,,7/1/2018 20:15,7/1/2018 20:30,-192.3254445
,,7/1/2018 20:30,7/1/2018 20:45,-59.77348169
,,7/1/2018 20:45,7/1/2018 21:00,14.24357732
,,7/1/2018 21:00,7/1/2018 21:15,15.75463486
,,7/1/2018 21:15,7/1/2018 21:30,15.43260511
,,7/1/2018 21:30,7/1/2018 21:45,15.25920534
,,7/1/2018 21:45,7/1/2018 22:00,14.78854895
,,7/1/2018 22:00,7/1/2018 22:15,17.0675211
,,7/1/2018 22:15,7/1/2018 22:30,16.59686375
,,7/1/2018 22:30,7/1/2018 22:45,16.9932073
,,7/1/2018 22:45,7/1/2018 23:00,16.42346319
,,7/1/2018 23:00,7/1/2018 23:15,15.58123461
,,7/1/2018 23:15,7/1/2018 23:30,18.18223476
,,7/1/2018 23:30,7/1/2018 23:45,16.20052004
,,7/1/2018 23:45,7/2/2018 0:00,16.99320618
,,7/2/2018 0:00,7/2/2018 0:15,18.03360685
,,7/2/2018 0:15,7/2/2018 0:30,17.04274845
,,7/2/2018 0:30,7/2/2018 0:45,17.21614885
,,7/2/2018 0:45,7/2/2018 1:00,16.72072109
,,7/2/2018 1:00,7/2/2018 1:15,15.90326293
,,7/2/2018 1:15,7/2/2018 1:30,16.84457731
,,7/2/2018 1:30,7/2/2018 1:45,17.14183505
,,7/2/2018 1:45,7/2/2018 2:00,15.48214833
,,7/2/2018 2:00,7/2/2018 2:15,14.9371767
,,7/2/2018 2:15,7/2/2018 2:30,16.32437785
,,7/2/2018 2:30,7/2/2018 2:45,17.24092054
,,7/2/2018 2:45,7/2/2018 3:00,17.24092134
,,7/2/2018 3:00,7/2/2018 3:15,15.45737696
,,7/2/2018 3:15,7/2/2018 3:30,16.81980594
,,7/2/2018 3:30,7/2/2018 3:45,17.88497925
,,7/2/2018 3:45,7/2/2018 4:00,18.62812169
,,7/2/2018 4:00,7/2/2018 4:15,16.89412149
,,7/2/2018 4:15,7/2/2018 4:30,17.1170632
,,7/2/2018 4:30,7/2/2018 4:45,16.84457811
,,7/2/2018 4:45,7/2/2018 5:00,16.57209237
,,7/2/2018 5:00,7/2/2018 5:15,16.52254899
,,7/2/2018 5:15,7/2/2018 5:30,18.33086459
,,7/2/2018 5:30,7/2/2018 5:45,16.89412085
,,7/2/2018 5:45,7/2/2018 6:00,79.88788382
,,7/2/2018 6:00,7/2/2018 6:15,680.4218928
,,7/2/2018 6:15,7/2/2018 6:30,1807.373759
,,7/2/2018 6:30,7/2/2018 6:45,3207.579183
,,7/2/2018 6:45,7/2/2018 7:00,5694.928792
,,7/2/2018 7:00,7/2/2018 7:15,8638.86556
,,7/2/2018 7:15,7/2/2018 7:30,11809.7085
,,7/2/2018 7:30,7/2/2018 7:45,14391.51221
,,7/2/2018 7:45,7/2/2018 8:00,17398.41797
,,7/2/2018 8:00,7/2/2018 8:15,23620.18522
,,7/2/2018 8:15,7/2/2018 8:30,30902.49219
,,7/2/2018 8:30,7/2/2018 8:45,53313.65755
,,7/2/2018 8:45,7/2/2018 9:00,64927.5
,,7/2/2018 9:00,7/2/2018 9:15,67996.58073
,,7/2/2018 9:15,7/2/2018 9:30,72616.9987
,,7/2/2018 9:30,7/2/2018 9:45,77125.15234
,,7/2/2018 9:45,7/2/2018 10:00,82714.77865
,,7/2/2018 10:00,7/2/2018 10:15,87803.8737
,,7/2/2018 10:15,7/2/2018 10:30,91638.49479
,,7/2/2018 10:30,7/2/2018 10:45,93798.91146
,,7/2/2018 10:45,7/2/2018 11:00,95554.63151
,,7/2/2018 11:00,7/2/2018 11:15,97020.03906
,,7/2/2018 11:15,7/2/2018 11:30,98848.24089
,,7/2/2018 11:30,7/2/2018 11:45,100027.6602
,,7/2/2018 11:45,7/2/2018 12:00,101773.2813
,,7/2/2018 12:00,7/2/2018 12:15,102382.8997
,,7/2/2018 12:15,7/2/2018 12:30,102910.3125
,,7/2/2018 12:30,7/2/2018 12:45,103548.1784
,,7/2/2018 12:45,7/2/2018 13:00,103799.4609
